0.500000000	0.000000000	0.000000000
0.500000000	0.054700000	-0.03717
0.500000000	0.062500000	-0.04192
0.500000000	0.070300000	-0.04775
0.500000000	0.101600000	-0.06434
0.500000000	0.171900000	-0.10150
0.500000000	0.281300000	-0.15662
0.500000000	0.453100000	-0.21090
0.500000000	0.500000000	-0.20581
0.500000000	0.617200000	-0.13641
0.500000000	0.734400000	0.00332
0.500000000	0.851600000	0.23151
0.500000000	0.953100000	0.68717
0.500000000	0.960900000	0.73722
0.500000000	0.968800000	0.78871
0.500000000	0.976600000	0.84123
0.500000000	1.000000000	1.00000
