5.42101e-18 	-7.08376e-18 	2.11835e-20 	0
0.05 	-0.0319024 	9.5402e-05 	0
0.1 	-0.0582644 	0.000240307 	0
0.15 	-0.0813744 	0.00045961 	0
0.2 	-0.102639 	0.000807157 	0
0.25 	-0.122851 	0.0013935 	0
0.3 	-0.142309 	0.00237159 	0
0.35 	-0.160807 	0.00391976 	0
0.4 	-0.17757 	0.00621502 	0
0.45 	-0.191175 	0.00938929 	0
0.5 	-0.199457 	0.0134657 	0
0.55 	-0.199408 	0.0182776 	0
0.6 	-0.18711 	0.0233831 	0
0.65 	-0.157708 	0.0280048 	0
0.7 	-0.105451 	0.0310532 	0
0.75 	-0.0238449 	0.0313103 	0
0.8 	0.0939759 	0.0278313 	0
0.85 	0.254429 	0.0205403 	0
0.9 	0.461738 	0.0110496 	0
0.95 	0.714299 	0.00339647 	0
1 	1 	0 	0
